idade,genero,altura,peso,is_alto,imc,imc_classification,metabolic_rate
63,M,1.754,88,False,28.60378428066033,1,2684.56
22,M,1.896,77,False,21.41973330484787,0,8943.331
39,F,1.903,77,True,21.26244232562519,0,3228.023
27,F,1.69,116,False,40.61482441090999,4,5295.617
70,M,1.862,94,False,27.11243353127332,1,2497.238
33,M,1.929,96,True,25.799231989112723,1,5259.19
20,F,1.727,78,False,26.15230229110932,1,8247.634
39,M,1.854,99,False,28.801541667975822,1,5127.653
33,M,1.879,106,False,30.02287686570229,2,4295.162
70,F,1.764,89,False,28.60176572518652,1,2269.839
47,M,1.76,87,False,28.08626033057851,1,3457.645
58,M,1.927,115,True,30.9695154940486,2,2651.213
64,M,1.663,114,False,41.221173653595336,4,2695.709
28,M,1.801,119,False,36.68761971648178,3,6702.812
42,F,1.881,75,False,21.197452574939355,0,3468.564
35,M,1.864,108,False,31.08364493728011,2,5128.998
67,M,1.767,64,False,20.497782236045413,0,2463.384
46,M,1.697,98,False,34.03003463076891,2,3368.796
59,F,1.676,87,False,30.97214073740751,2,2540.809
27,M,1.802,95,False,29.25593833956844,1,5997.276
47,M,1.849,104,False,30.42002152216523,2,4116.063
37,F,1.847,113,False,33.12414313264695,2,4050.431
53,F,1.89,115,False,32.19394753786288,2,2400.243
21,M,1.89,71,False,19.87626326250665,0,8176.832
43,F,1.844,113,False,33.23201001312811,2,3280.089
29,F,1.843,118,False,34.74012180828811,2,4615.281
68,F,1.71,66,False,22.571047501795427,0,1841.187
59,F,1.787,84,False,26.304507872406855,1,2481.43
27,F,1.881,118,False,33.35065871790458,2,5814.303
24,M,1.942,102,True,27.045917604346865,1,7932.839
22,F,1.863,111,False,31.98138510514529,2,6614.968
52,M,1.829,97,False,28.996416102756125,1,3118.294
49,M,1.79,124,False,38.70041509316189,3,3244.379
58,F,1.822,124,False,37.352952871417884,3,2474.66
26,F,1.796,82,False,25.421500885412275,1,5681.246
64,M,1.59,78,False,30.853209920493647,2,2748.646
40,M,1.746,88,False,28.8665042269747,1,4182.447
57,F,1.693,67,False,23.375498779066298,0,2438.783
32,M,1.876,93,False,26.42513900191398,1,4551.094
44,F,1.741,109,False,35.96076779208473,3,2505.283
21,F,1.828,118,False,35.312594266671134,3,6242.51
21,F,1.844,122,False,35.87880727081088,3,7113.368
21,M,1.903,69,True,19.05335740867712,0,7914.656
34,M,1.85,116,False,33.89335281227173,2,3901.729
34,M,1.759,93,False,30.057390223462157,2,4680.264
37,M,1.919,83,True,22.53866263179347,0,5594.43
24,F,1.776,94,False,29.801761220680138,1,6357.295
45,F,1.793,116,False,36.082565619722736,3,2611.504
49,F,1.722,87,False,29.339516889444653,1,2693.282
33,M,1.77,123,False,39.260748826965425,3,4749.74
24,M,1.972,112,True,28.800776798094212,1,7386.633
59,F,1.725,91,False,30.581810544003357,2,2350.576
40,F,1.791,82,False,25.563639277097696,1,3354.809
62,F,1.936,70,True,18.676149170138654,0,2727.771
27,F,1.892,107,False,29.891073575620506,1,4613.103
25,F,1.726,96,False,32.224756938057304,2,5691.072
45,F,1.762,94,False,30.277223411122176,2,3310.742
23,F,1.883,102,False,28.76732843743487,1,6115.338
49,M,1.798,116,False,35.88216297678424,3,3465.882
54,M,1.79,84,False,26.216410224399986,1,3761.552
46,F,1.881,103,False,29.111168202916712,1,3151.575
46,M,1.93,114,True,30.604848452307447,2,4177.172
63,M,1.88,81,False,22.917609778180175,0,3019.998
62,F,1.897,128,False,35.56929913752786,3,2094.915
24,F,1.838,112,False,33.15331870640486,2,7358.509
59,F,1.815,69,False,20.945745964528836,0,2306.3
30,F,1.669,109,False,39.13035830125422,3,4195.711
62,M,1.822,123,False,37.05171938051935,3,2883.998
54,F,1.824,115,False,34.56592413050169,2,2636.17
30,M,1.827,92,False,27.56200027022744,1,5423.305
57,M,1.872,131,False,37.381748118927604,3,3228.442
57,M,1.844,74,False,21.76255522983611,0,2597.465
69,F,1.729,94,False,31.444005752245985,2,2216.766
24,M,1.762,74,False,23.83526098322384,0,7017.59
56,M,1.835,93,False,27.619181967347,1,3199.372
70,F,1.924,130,True,35.118278361521604,3,2036.784
56,M,1.744,110,False,36.1659372106725,3,2715.68
45,M,1.906,119,True,32.75677734970695,2,3429.013
52,F,1.873,90,False,25.654700839108255,1,2976.906
52,M,1.557,106,False,43.72488139625922,4,2438.796
42,M,1.827,89,False,26.663239391850457,1,4096.754
26,F,1.948,73,True,19.237337088742628,0,5461.272
51,M,1.76,102,False,32.928719008264466,2,3251.878
28,F,1.723,83,False,27.9580925035596,1,4294.001
35,F,1.975,81,True,20.765902900176254,0,4875.688
28,M,1.842,125,False,36.840944967291136,3,5450.242
63,M,1.797,104,False,32.206029402246806,2,1875.029
62,M,1.794,122,False,37.90661054002627,3,2577.417
47,F,1.781,99,False,31.21097642751598,2,2649.797
42,F,1.799,69,False,21.319978581146156,0,3207.383
31,M,1.727,64,False,21.458299315782007,0,4710.239
61,M,1.787,119,False,37.264719485909716,3,2765.444
28,F,1.828,68,False,20.349630594352856,0,4334.79
64,M,1.854,106,False,30.838014311166035,2,2671.937
31,F,1.787,82,False,25.67821006592098,1,4291.459
28,F,1.929,115,True,30.905329986957952,2,4783.273
38,F,1.802,82,False,25.25249414573276,1,3216.395
55,F,1.89,70,False,19.59631589261219,0,2995.762
52,F,1.925,117,True,31.57362118401079,2,2479.872
32,F,1.888,88,False,24.687589773053723,0,4186.38
21,F,1.886,103,False,28.95701878776361,1,7699.282
59,F,1.833,114,False,33.92969232019272,2,2418.968
63,F,1.691,101,False,35.32109498192154,3,2109.921
44,F,1.809,87,False,26.585333879707783,1,2891.132
32,M,1.713,105,False,35.78282076998496,3,4835.527
32,F,1.728,117,False,39.183063271604944,3,5002.773
52,M,1.787,101,False,31.628039227536814,2,3514.296
46,F,1.958,117,True,30.518310464598237,2,2926.594
59,M,1.745,114,False,37.43811627162338,3,2629.133
56,M,1.737,112,False,37.1208904771327,3,2113.697
38,M,1.756,84,False,27.241452669921802,1,4558.282
41,F,1.821,127,False,38.298682072990054,3,3049.077
36,F,1.819,67,False,20.249271555122903,0,4061.693
70,M,1.79,124,False,38.70041509316189,3,2352.974
21,M,1.766,78,False,25.00997192470331,1,7439.112
31,F,1.862,95,False,27.40086367522304,1,4502.161
52,M,1.802,119,False,36.64691223588047,3,3117.163
47,F,1.791,79,False,24.62838418159412,0,2590.734
45,F,1.784,78,False,24.50783245188924,0,3304.657
44,F,1.807,105,False,32.15681254323943,2,3172.339
47,F,1.724,103,False,34.65474453733561,2,3167.595
50,M,1.837,67,False,19.854387330648745,0,2845.939
63,F,1.817,93,False,28.169107938872433,1,2429.719
50,F,1.799,95,False,29.353593698679493,1,2609.248
46,M,1.694,77,False,26.832671460770637,1,3240.972
70,M,1.857,101,False,29.288529422937675,1,2696.769
63,F,1.91,79,True,21.655108138483047,0,2590.951
20,F,1.857,87,False,25.228733265302747,1,8215.3
54,M,1.803,109,False,33.53011511903652,2,3066.287
52,F,1.841,121,False,35.700787276121396,3,2649.119
20,M,1.794,101,False,31.381702168382407,2,9400.904
28,F,1.821,70,False,21.109509804010266,0,5335.455
52,F,1.684,99,False,34.910094165571174,3,2550.04
63,M,1.723,115,False,38.73711611938981,3,2004.714
56,F,1.773,94,False,29.902698527673838,2,2353.641
66,M,1.747,92,False,30.14407886739521,2,2333.599
34,M,1.886,131,False,36.82882972035954,3,4978.756
34,F,1.831,106,False,31.61762008208054,2,3805.666
68,F,1.879,119,False,33.704927802062,2,2039.137
48,M,1.884,109,False,30.70893117142458,2,4153.179
60,M,1.791,78,False,24.316632483092928,0,3009.868
40,F,1.881,86,False,24.30641228593046,0,3777.955
65,M,1.874,110,False,31.32229042255478,2,2748.562
37,F,1.862,96,False,27.689293819172757,1,3472.314
35,F,1.818,90,False,27.23044581685891,1,4201.797
48,M,1.825,67,False,20.11634452993057,0,3701.641
60,M,1.94,128,True,34.009990434690195,2,2983.432
46,M,1.967,130,True,33.59964063892043,2,3440.125
34,F,1.817,94,False,28.47200157262375,1,4696.453
66,F,1.806,108,False,33.11221730444476,2,2072.378
28,M,1.934,81,True,21.655692666687344,0,6631.926
47,F,1.68,89,False,31.533446712018144,2,2969.418
21,F,1.846,94,False,27.584458329273918,1,5741.995
40,F,1.809,106,False,32.39132633619569,2,4003.762
30,F,1.806,94,False,28.819892839053775,1,4034.823
51,F,1.799,95,False,29.353593698679493,1,2670.514
41,M,1.916,88,True,23.9713041696994,0,4937.198
54,F,1.753,66,False,21.477320762809356,0,2189.665
61,M,1.748,117,False,38.29155517387639,3,2554.96
60,F,1.835,67,False,19.897690234540313,0,2541.534
35,F,1.731,79,False,26.365314459773035,1,4277.578
50,F,1.683,86,False,30.36198904920725,2,2244.305
29,F,1.603,75,False,29.187319938558748,1,3871.983
59,M,1.855,102,False,29.642330410270198,1,2835.71
55,M,1.812,94,False,28.629348615314143,1,3223.969
40,M,1.801,80,False,24.663946027886908,0,4089.387
27,M,1.8,70,False,21.604938271604937,0,6151.651
66,F,1.695,69,False,24.01649829012974,0,1939.12
61,M,1.764,93,False,29.887238342048835,1,2702.991
63,M,1.756,114,False,36.97054290917959,3,2658.332
66,M,1.841,73,False,21.53849149716415,0,2715.76
52,M,1.837,108,False,32.004087040448724,2,3777.879
59,F,1.931,122,True,32.71864300232705,2,2605.666
41,M,1.872,85,False,24.25533274892249,0,4488.564
49,M,1.8,106,False,32.716049382716044,2,3647.961
42,M,1.883,112,False,31.587654754830446,2,4465.926
34,M,1.766,106,False,33.987910564340396,2,4951.665
66,F,1.833,122,False,36.31072336020625,3,2485.136
62,F,1.826,90,False,26.992366558737185,1,1829.474
45,F,1.798,80,False,24.746319294333958,0,3043.176
35,M,1.833,100,False,29.762888000169053,1,4983.035
29,F,1.866,71,False,20.390837793470105,0,4639.471
55,F,1.89,89,False,24.915315920606925,1,3017.171
47,F,1.831,121,False,36.09181160312967,3,2376.477
61,M,1.749,95,False,31.05589046881645,2,2544.704
45,M,1.797,91,False,28.180275726965956,1,3045.118
50,M,2.056,93,True,22.000711592908296,0,3543.361
37,F,1.738,77,False,25.49125285866193,1,3318.67
36,F,1.83,81,False,24.187046492878256,0,4023.825
67,F,1.787,115,False,36.012123872937956,3,2518.647
51,F,1.985,138,True,35.02338064450634,3,3391.609
58,F,1.785,97,False,30.44354996900721,2,2037.503
70,F,1.857,72,False,20.87895166783676,0,2134.503
70,M,1.939,119,True,31.65128476288533,2,2423.289
24,F,1.872,123,False,35.09889327197019,3,6522.664
61,M,1.797,122,False,37.7801498757126,3,2928.171
48,F,1.763,101,False,32.495015554173534,2,3216.613
55,F,1.864,99,False,28.49334119250677,1,3024.377
58,M,1.967,112,True,28.947382704300676,1,3449.345
69,F,1.924,70,True,18.90984219466548,0,2109.104
30,M,1.764,103,False,33.10091988420462,2,5326.313
52,M,1.777,107,False,33.885111736947664,2,2735.661
23,M,1.799,109,False,33.679386454274365,2,7491.112
67,M,1.805,100,False,30.693441578870637,2,2598.22
52,F,1.901,114,True,31.545732595679727,2,2314.248
20,F,1.774,102,False,32.41103805564276,2,7586.808
40,M,1.852,74,False,21.574947870261088,0,4148.611
36,M,1.856,124,False,35.996953032104635,3,4252.12
53,M,1.877,107,False,30.370730109513445,2,3331.753
48,M,1.83,111,False,33.14521186061094,2,3013.817
22,F,1.689,80,False,28.04340137013048,1,5495.284
68,M,1.936,130,True,34.6842770302575,2,2395.566
43,F,1.864,99,False,28.49334119250677,1,3042.548
53,M,1.806,107,False,32.80562269977398,2,2815.587
21,M,1.748,120,False,39.2733899219245,3,7497.761
50,M,1.677,113,False,40.180220735198475,4,3353.847
59,F,1.977,115,True,29.422834012489098,1,2306.997
26,F,1.916,80,True,21.79209469972673,0,5277.719
70,M,1.781,122,False,38.4620113551207,3,2103.946
48,M,1.664,116,False,41.89395340236687,4,3471.319
70,F,1.863,74,False,21.320923403430193,0,1966.491
30,M,1.884,97,False,27.328131409432885,1,6018.017
62,M,1.827,100,False,29.95869594589939,2,2601.519
44,M,1.778,70,False,22.14290142866,0,4280.748
38,F,1.819,77,False,23.271550891708408,0,3615.348
30,M,1.867,101,False,28.97562002806332,1,6377.809
64,F,1.831,126,False,37.58320877681272,3,2396.768
54,M,1.842,68,False,20.041474062206376,0,3037.379
52,F,1.737,116,False,38.44663656560172,3,2389.121
24,M,1.916,128,True,34.86735151956277,2,7030.835
54,F,1.877,122,False,34.62830909682842,2,2583.388
22,F,1.77,86,False,27.450604870886398,1,7044.438
50,M,1.821,96,False,28.950184874071223,1,3692.361
31,F,1.791,89,False,27.745901166606036,1,4615.455
23,F,1.789,122,False,38.118793783887064,3,5658.97
51,F,1.812,97,False,29.54305123069651,1,2499.886
69,F,1.829,71,False,21.2241808587184,0,1739.802
69,M,1.939,88,True,23.40599209356226,0,2500.629
43,F,1.786,92,False,28.841969831299554,1,3007.75
70,M,1.8,123,False,37.96296296296296,3,2670.36
55,F,1.69,94,False,32.91201288470292,2,2478.854
21,F,1.778,106,False,33.530679306256566,2,6477.531
24,F,1.905,74,True,20.391151893414897,0,6596.936
31,F,1.911,126,True,34.50238929045836,2,5341.233
44,M,1.803,98,False,30.146342033629168,2,3715.768
60,F,1.755,118,False,38.311377342716376,3,2208.54
43,M,1.844,94,False,27.644326913575597,1,3404.902
44,M,1.821,108,False,32.56895798333012,2,4349.908
63,F,1.87,97,False,27.738854413909458,1,2500.328
64,M,1.897,77,False,21.3971565124191,0,2581.422
64,F,1.987,90,True,22.79537679364789,0,2615.339
37,F,1.831,70,False,20.87956043156262,0,2907.697
70,M,1.895,97,False,27.01178632841598,1,2376.368
39,F,1.796,104,False,32.2419035619863,2,3556.916
52,F,1.776,79,False,25.046161025890754,1,2703.432
48,F,1.74,92,False,30.38710529792575,2,3041.541
48,F,1.793,93,False,28.928263815812194,1,2623.493
41,M,1.821,99,False,29.854878151385947,1,4325.929
31,M,1.933,82,True,21.94573568930619,0,6210.22
53,M,1.746,95,False,31.16270342684769,2,2965.793
23,F,1.974,96,True,24.636382393609324,0,6289.4
24,F,1.795,82,False,25.449833567399384,1,5043.253
29,M,1.77,99,False,31.600114909508758,2,5292.756
41,M,1.956,80,True,20.90991590031825,0,3517.616
44,M,1.726,115,False,38.602573415381144,3,3541.879
20,M,1.832,124,False,36.94628248889228,3,8528.072
29,M,1.813,106,False,32.24855482360802,2,5592.168
34,F,1.846,85,False,24.943393170088115,1,3989.053
59,M,1.761,101,False,32.56886783843649,2,2735.579
50,M,1.802,102,False,31.411639059326117,2,3387.316
36,M,1.753,86,False,27.98559978184249,1,4739.187
31,F,1.753,80,False,26.03311607613255,1,3696.364
24,F,1.74,73,False,24.111507464658473,0,5317.727
57,M,1.77,77,False,24.577867151840145,0,2441.352
67,M,1.889,110,False,30.82682303525944,2,2478.285
58,F,1.847,122,False,35.76234922285777,3,2700.376
70,F,1.693,83,False,28.95770744272392,1,1895.857
28,F,1.85,74,False,21.62162162162162,0,4874.339
70,F,1.768,64,False,20.474601257140517,0,1799.177
36,M,1.808,90,False,27.532500587360012,1,4406.613
48,F,1.902,84,True,23.219788567239533,0,2862.6
70,F,1.93,91,True,24.43018604526296,0,2189.168
61,M,1.743,77,False,25.345213326052342,1,2392.535
36,F,1.939,114,True,30.32139884847838,2,3959.014
65,M,1.911,110,True,30.121133507543014,2,2530.535
33,M,1.783,119,False,37.43210712251214,3,4392.563
39,M,1.747,104,False,34.07591524140328,2,3494.885
66,M,1.855,77,False,22.37705334892946,0,2579.827
46,M,1.884,116,False,32.68106436591974,2,3284.779
70,M,1.821,77,False,23.22046078441129,0,2374.533
58,F,1.738,96,False,31.781302265344742,2,2522.389
67,F,1.972,76,True,19.543384255849645,0,2244.958
39,F,1.811,68,False,20.733470926337944,0,3478.096
42,F,2.011,104,True,25.716342315178004,1,3088.741
28,M,1.863,74,False,21.320923403430193,0,5702.286
70,F,1.908,89,True,24.447433074465234,0,1898.623
68,M,1.816,86,False,26.077548564885788,1,2306.406
38,M,1.781,111,False,34.9941250853967,3,4337.787
51,M,1.867,88,False,25.246084776926455,1,3575.689
31,F,1.887,100,False,28.083821219517468,1,3553.061
21,M,1.863,116,False,33.42198803780949,2,9150.574
55,M,1.847,79,False,23.157586791850523,0,2712.717
40,F,1.766,112,False,35.911754558548346,3,4032.377
59,F,1.784,115,False,36.133342717529004,3,2190.643
62,F,1.83,127,False,37.922900056735045,3,2327.193
30,F,1.841,94,False,27.734495900457944,1,4743.393
47,F,1.731,84,False,28.034005248366267,1,2701.234
31,M,1.852,111,False,32.362421805391634,2,5986.02
24,F,1.94,74,True,19.66202572005527,0,6956.918
69,F,1.803,67,False,20.610254247481166,0,1954.076
34,M,1.687,80,False,28.10993373434496,1,4145.792
51,M,1.889,115,False,32.22804226413487,2,2986.54
36,F,1.877,75,False,21.287894936574848,0,4445.474
60,M,1.754,101,False,32.82934332212152,2,2344.425
55,M,1.727,78,False,26.15230229110932,1,2931.763
33,M,1.703,99,False,34.135470926405645,2,5008.995
60,M,1.812,93,False,28.324781076853355,1,2584.539
28,F,1.778,71,False,22.45922859192657,0,5181.796
36,F,1.847,82,False,24.036988821920797,0,3908.373
63,M,1.819,79,False,23.87600675902551,0,2592.858
26,F,1.962,82,True,21.301777607363558,0,4964.78
51,F,1.774,92,False,29.23348530508955,1,2513.357
63,M,1.738,119,False,39.39557259975025,3,2349.984
63,M,1.858,108,False,31.284724595934605,2,2914.47
25,F,1.919,124,True,33.672218871595064,2,6042.534
35,F,1.911,133,True,36.419188695483825,3,3846.233
21,M,1.822,99,False,29.8221155989546,1,6661.575
29,F,1.75,77,False,25.142857142857142,1,4949.542
23,F,1.818,123,False,37.21494261637385,3,6669.017
24,F,1.812,108,False,32.89329415376518,2,6380.729
56,M,1.725,118,False,39.65553455156479,3,2925.316
58,F,1.883,109,False,30.741556859611773,2,2238.915
45,F,1.803,112,False,34.45296232414762,2,2873.576
49,M,1.903,126,True,34.79308744193213,2,2762.38
21,M,1.976,122,True,31.245390024422626,2,8782.72
70,M,1.941,107,True,28.400939513696287,1,2714.413
37,F,1.776,92,False,29.16768119470822,1,3350.117
26,F,1.867,119,False,34.139591914252826,2,5047.32
65,F,1.812,113,False,34.41613184606913,2,1583.168
66,M,1.873,91,False,25.939753070653904,1,2734.62
42,M,1.746,92,False,30.17861805547355,2,4274.335
39,M,1.855,107,False,31.095385822538343,2,4348.735
34,M,1.823,67,False,20.16050773185562,0,4591.4
47,F,1.824,81,False,24.34643351800554,0,2720.447
65,M,1.72,77,False,26.027582477014604,1,2310.334
22,F,1.861,123,False,35.515044663777914,3,6990.968
22,F,1.828,86,False,25.736297516387438,1,6066.235
31,F,1.759,96,False,31.026983456477065,2,3888.537
53,M,1.747,112,False,36.697139490741996,3,3649.359
55,M,1.621,73,False,27.78157290132099,1,2409.506
27,F,1.849,74,False,21.645015313848337,0,4678.286
28,F,1.739,119,False,39.35027732025272,3,4358.447
54,M,1.857,111,False,32.18838382124834,2,3206.747
43,F,1.831,77,False,22.96751647471888,0,3155.977
43,M,1.814,116,False,35.25197259098351,3,3678.42
54,M,1.994,125,True,31.43834713770197,2,3379.921
30,F,1.811,117,False,35.67376615266969,3,4102.21
25,M,1.908,87,True,23.898052555937927,0,7246.361
44,F,1.747,90,False,29.48877280506053,1,3295.846
20,M,1.827,109,False,32.654978581030335,2,7829.578
28,F,1.917,94,True,25.579003882838364,1,5352.129
31,M,1.965,75,True,19.42388749684362,0,5687.499
32,F,1.847,75,False,21.985050751756827,0,4655.119
48,F,1.894,107,False,29.82797897880151,1,2999.511
65,F,1.831,89,False,26.546869691558186,1,2364.299
51,F,1.877,68,False,19.301024742494526,0,3501.182
50,M,1.711,106,False,36.20810918179579,3,3361.014
45,M,1.773,89,False,28.31212945705289,1,3928.43
59,F,1.798,84,False,25.983635259050654,1,2221.291
43,M,1.832,110,False,32.77492801433992,2,3669.042
34,F,1.889,97,False,27.183653040183323,1,4328.628
61,M,1.701,101,False,34.907017727580794,3,2261.036
70,M,1.848,67,False,19.618729034313446,0,2678.07
25,M,1.703,62,False,21.377769671082323,0,6708.083
48,F,1.816,100,False,30.32273088940208,2,2725.949
50,F,1.807,125,False,38.28191969433266,3,2927.302
35,F,1.731,78,False,26.03157630205439,1,4613.222
29,F,1.896,112,False,31.155975716142358,2,5104.457
64,M,1.968,82,True,21.17208672086721,0,3022.37
59,M,1.756,82,False,26.592846653971286,1,2806.778
23,M,1.814,70,False,21.272742080765916,0,7453.534
48,F,1.789,118,False,36.86899726638257,3,2830.613
27,F,1.802,84,False,25.868408637092095,1,6184.376
59,M,1.862,82,False,23.65127180387673,0,2318.104
30,F,1.759,107,False,34.582158644198394,2,4684.068
20,F,1.922,82,True,22.197654411756744,0,7225.766
62,M,1.689,75,False,26.290688784497323,1,2787.926
56,F,1.812,72,False,21.92886276917679,0,2751.82
42,M,1.849,127,False,37.147526281874846,3,4368.869
49,M,1.751,78,False,25.440304813990608,1,3002.573
34,M,1.892,132,False,36.87496927085894,3,5822.614
48,F,1.768,74,False,23.67375770356872,0,2711.728
43,M,1.919,70,True,19.008510653319796,0,4601.595
28,F,1.826,121,False,36.28973726230222,3,5168.696
62,F,1.723,96,False,32.33707084749062,2,2180.138
30,M,1.729,83,False,27.76438805783422,1,5103.42
34,F,1.945,104,True,27.49122725860918,1,3482.595
63,M,1.895,85,False,23.670122040364518,0,3306.15
65,F,1.837,106,False,31.411418761921894,2,2254.535
57,M,1.738,99,False,32.774467961136764,2,2693.454
67,F,1.96,76,True,19.78342357351104,0,2359.568
45,F,1.794,120,False,37.28519069510781,3,2940.516
64,M,1.789,92,False,28.74531990260336,1,2350.838
56,M,1.816,77,False,23.348502784839603,0,2790.916
43,M,1.835,85,False,25.243338357252636,1,3743.62
41,M,1.819,119,False,35.96512410536754,3,3859.734
37,M,1.785,88,False,27.618890693532315,1,4531.642
28,F,1.794,99,False,30.760282323463944,2,5503.124
48,M,1.712,117,False,39.918879378111626,4,3405.285
51,F,1.882,109,False,30.77423456855653,2,2787.374
31,F,1.886,111,False,31.206107625648162,2,3618.09
60,M,1.911,85,True,23.275421346737783,0,3066.923
36,F,1.869,110,False,31.490103090009306,2,3702.982
44,F,1.794,89,False,27.653183098871626,1,3209.308
33,F,1.696,114,False,39.63265396938412,3,4118.35
44,F,1.794,72,False,22.371114417064685,0,3025.172
46,F,1.888,86,False,24.126508187302502,0,2889.465
32,F,1.975,76,True,19.48405704214068,0,4898.193
56,F,1.912,94,True,25.712960207279284,1,2307.609
29,F,1.834,75,False,22.297830034641905,0,5963.54
28,M,1.813,117,False,35.595102965680546,3,5998.748
32,M,1.794,121,False,37.59590061756704,3,5459.766
26,M,1.839,108,False,31.93451295875924,2,6446.656
33,M,1.75,69,False,22.53061224489796,0,4492.842
55,M,1.791,85,False,26.49889437260127,1,3584.417
59,M,1.866,128,False,36.76094700794611,3,2572.543
24,F,1.725,70,False,23.52446964923335,0,5511.093
32,M,1.844,101,False,29.702947002884418,1,5176.873
39,F,1.839,88,False,26.020714262692714,1,3467.633
47,F,1.875,131,False,37.26222222222222,3,2843.504
70,F,1.883,86,False,24.254806329601948,0,1990.126
34,F,1.595,60,False,23.584673892748697,0,3889.278
58,F,1.728,103,False,34.49449159807956,2,2340.326
40,M,1.918,90,True,24.465004713590908,0,4580.956
36,M,1.874,109,False,31.03754232780428,2,4632.224
25,F,1.823,72,False,21.665023234232905,0,6067.346
65,F,1.914,103,True,28.1159885526981,1,1908.404
65,F,1.737,85,False,28.17210437996678,1,2017.477
44,F,1.82,99,False,29.887694722859557,1,3090.825
29,M,1.845,120,False,35.25238504417565,3,5704.559
33,M,1.862,129,False,37.20748856951339,3,5057.938
38,M,1.796,111,False,34.41203168635076,2,4276.818
30,M,1.833,114,False,33.92969232019272,2,5965.986
51,M,1.792,97,False,30.20617426658163,2,3081.46
29,M,1.854,73,False,21.23750042184076,0,5628.317
66,M,1.683,99,False,34.95159204501765,3,2633.011
53,M,1.83,75,False,22.395413419331717,0,3485.631
70,F,1.895,84,False,23.39165001636023,0,2089.393
63,M,1.799,108,False,33.37040125744616,2,2678.174
48,F,1.731,101,False,33.70755392958325,2,2352.045
48,F,1.865,87,False,25.012757944066298,1,2917.903
41,F,1.806,112,False,34.3385957231279,2,3595.307
69,F,1.882,128,False,36.138550686011335,3,2223.019
33,M,1.738,95,False,31.45024703341407,2,4317.978
21,M,1.834,108,False,32.10887524988434,2,6937.616
31,F,1.737,79,False,26.183485247263242,1,4599.991
41,M,1.832,126,False,37.54219027097118,3,4546.46
20,F,1.915,87,True,23.72366026082392,0,7897.069
69,M,1.829,121,False,36.170787097252486,3,2934.94
31,F,1.739,117,False,38.68892812159301,3,4895.449
31,M,1.694,102,False,35.54457777920266,3,4664.894
23,M,1.826,116,False,34.79016134237237,2,8300.062
36,F,1.939,100,True,26.597718288138932,1,3809.876
67,M,1.9,128,True,35.45706371191136,3,2711.724
38,M,1.868,114,False,32.670148425642736,2,3956.202
20,M,1.774,84,False,26.69144310464698,1,9044.441
36,F,1.797,67,False,20.748115095678234,0,3658.814
53,F,1.893,103,False,28.743258240873526,1,3382.468
62,F,1.827,118,False,35.35126121616128,3,2343.466
